time_sec,heart_rate,spo2,bp_sys,bp_dia,motion,spo2_diff,spo2_motion_artifact,hr_diff,hr_artifact,spo2_missing,risk_score,risk_confidence,vital_risk,risk_level
0,,93,,76,1.3262170761345744,,False,,False,False,11.02037857357511,0.6,0.0,LOW
1,,92,,79,1.3727733652123082,-1.0,False,-1.0,False,False,11.02037857357511,0.6,0.0,LOW
2,76.0,92,121.0,82,1.345789737785187,0.0,False,2.0,False,False,11.02037857357511,0.6,0.0,LOW
3,75.0,92,121.0,80,1.306060099167481,0.0,False,3.0,False,False,11.02037857357511,0.6,0.0,LOW
4,77.0,92,121.0,77,1.3821419483804194,0.0,False,-6.0,False,False,11.02037857357511,0.6,0.0,LOW
5,77.0,98,120.0,80,0.0817572313604244,6.0,False,0.0,False,False,30.612162704375308,1.0,0.0,LOW
6,74.0,98,119.0,75,0.3026036655710967,0.0,False,6.0,False,False,30.612162704375308,1.0,0.0,LOW
7,77.0,98,118.0,83,0.1147020452554632,0.0,False,-3.0,False,False,30.612162704375308,1.0,0.0,LOW
8,77.0,98,119.0,79,0.1686453587613852,0.0,False,-3.0,False,False,30.612162704375308,1.0,0.0,LOW
9,74.0,98,119.0,83,0.1979541232402465,0.0,False,3.0,False,False,30.612162704375308,1.0,0.0,LOW
10,74.0,98,118.0,78,0.1926759664635919,0.0,False,-3.0,False,False,30.612162704375308,1.0,0.0,LOW
11,74.0,98,120.0,78,0.2503205520013277,0.0,False,0.0,False,False,30.612162704375308,1.0,0.0,LOW
12,74.0,98,121.0,78,0.1471081690694883,0.0,False,2.0,False,False,30.612162704375308,1.0,0.0,LOW
13,73.0,98,121.0,83,0.2130383408741531,0.0,False,-7.0,False,False,30.612162704375308,1.0,0.0,LOW
14,72.0,98,121.0,78,0.1710893950890123,0.0,False,1.0,False,False,30.612162704375308,1.0,0.0,LOW
15,72.0,98,121.0,82,0.2147570489668708,,False,3.0,False,True,30.612162704375308,1.0,0.0,LOW
16,72.0,97,121.0,79,0.1967613870101061,,False,-1.0,False,False,30.612162704375308,1.0,0.0,LOW
17,72.0,98,121.0,74,0.2046467826341489,1.0,False,4.0,False,False,30.612162704375308,1.0,0.0,LOW
18,72.0,98,120.0,78,0.1725037583767827,0.0,False,-4.0,False,False,30.612162704375308,1.0,0.0,LOW
19,74.0,98,121.0,76,0.1744968024951959,0.0,False,-1.0,False,False,30.612162704375308,1.0,0.0,LOW
20,74.0,98,119.0,80,0.2143636257013713,0.0,False,8.0,False,False,30.612162704375308,1.0,0.0,LOW
21,74.0,98,118.0,76,0.2471857752878022,0.0,False,-5.0,False,False,30.612162704375308,1.0,0.0,LOW
22,74.0,98,119.0,83,0.1700860332901076,0.0,False,1.0,False,False,30.612162704375308,1.0,0.0,LOW
23,74.0,98,119.0,80,0.1565616227713545,0.0,False,-4.0,False,False,30.612162704375308,1.0,0.0,LOW
24,73.0,98,119.0,79,0.2306730082835918,0.0,False,2.0,False,False,30.612162704375308,1.0,0.0,LOW
25,73.0,98,121.0,82,0.1983748053471155,0.0,False,2.0,False,False,30.612162704375308,1.0,0.0,LOW
26,73.0,98,120.0,83,0.2415249066992976,,False,-3.0,False,True,30.612162704375308,1.0,0.0,LOW
27,74.0,98,117.0,80,0.1547101393314426,,False,4.0,False,False,30.612162704375308,1.0,0.0,LOW
28,73.0,98,119.0,78,0.1110280537288284,0.0,False,-3.0,False,False,30.612162704375308,1.0,0.0,LOW
29,74.0,98,119.0,75,0.1733497959086833,0.0,False,1.0,False,False,30.612162704375308,1.0,0.0,LOW
30,74.0,98,118.0,78,0.1616823695367492,0.0,False,-1.0,False,False,30.612162704375308,1.0,0.0,LOW
31,74.0,98,120.0,78,0.196060579995985,0.0,False,8.0,False,False,11.20047562303117,1.0,0.0,LOW
32,75.0,98,121.0,80,0.1681577392864805,0.0,False,-6.0,False,False,11.20047562303117,1.0,0.0,LOW
33,75.0,98,120.0,79,0.2370508475668225,0.0,False,-3.0,False,False,11.20047562303117,1.0,0.0,LOW
34,75.0,98,121.0,82,0.1855924868788742,0.0,False,5.0,False,False,11.20047562303117,1.0,0.0,LOW
35,72.0,98,121.0,78,0.207523724938695,0.0,False,-6.0,False,False,11.20047562303117,1.0,0.0,LOW
36,71.0,98,121.0,80,0.2078817279220472,0.0,False,5.0,False,False,11.20047562303117,1.0,0.0,LOW
